Date,Open,High,Low,Close
12/31/2024,"3,707.84","3,707.84","3,707.84","3,707.84"
12/30/2024,"3,718.94","3,718.94","3,718.94","3,718.94"
12/27/2024,"3,755.36","3,755.36","3,755.36","3,755.36"
12/26/2024,"3,778.70","3,778.70","3,778.70","3,778.70"
12/25/2024,"3,778.53","3,778.53","3,778.53","3,778.53"
12/24/2024,"3,777.89","3,777.89","3,777.89","3,777.89"
12/23/2024,"3,745.13","3,745.13","3,745.13","3,745.13"
12/20/2024,"3,723.22","3,723.22","3,723.22","3,723.22"
12/19/2024,"3,696.05","3,696.05","3,696.05","3,696.05"
12/18/2024,"3,720.41","3,720.41","3,720.41","3,720.41"
12/17/2024,"3,812.07","3,812.07","3,812.07","3,812.07"
12/16/2024,"3,826.99","3,826.99","3,826.99","3,826.99"
12/13/2024,"3,817.24","3,817.24","3,817.24","3,817.24"
12/12/2024,"3,826.08","3,826.08","3,826.08","3,826.08"
12/11/2024,"3,842.39","3,842.39","3,842.39","3,842.39"
12/10/2024,"3,816.76","3,816.76","3,816.76","3,816.76"
12/09/2024,"3,837.63","3,837.63","3,837.63","3,837.63"
12/06/2024,"3,855.07","3,855.07","3,855.07","3,855.07"
12/05/2024,"3,848.48","3,848.48","3,848.48","3,848.48"
12/04/2024,"3,849.72","3,849.72","3,849.72","3,849.72"
12/03/2024,"3,830.12","3,830.12","3,830.12","3,830.12"
12/02/2024,"3,817.72","3,817.72","3,817.72","3,817.72"
11/29/2024,"3,810.14","3,810.14","3,810.14","3,810.14"
11/28/2024,"3,789.28","3,789.28","3,789.28","3,789.28"
11/27/2024,"3,786.04","3,786.04","3,786.04","3,786.04"
11/26/2024,"3,790.31","3,790.31","3,790.31","3,790.31"
11/25/2024,"3,781.79","3,781.79","3,781.79","3,781.79"
11/22/2024,"3,765.96","3,765.96","3,765.96","3,765.96"
11/21/2024,"3,753.51","3,753.51","3,753.51","3,753.51"
11/20/2024,"3,732.77","3,732.77","3,732.77","3,732.77"
11/19/2024,"3,738.95","3,738.95","3,738.95","3,738.95"
11/18/2024,"3,723.36","3,723.36","3,723.36","3,723.36"
11/15/2024,"3,710.50","3,710.50","3,710.50","3,710.50"
11/14/2024,"3,752.70","3,752.70","3,752.70","3,752.70"
11/13/2024,"3,767.05","3,767.05","3,767.05","3,767.05"
11/12/2024,"3,773.23","3,015.90","3,773.23","3,773.23"
11/11/2024,"3,795.30","3,795.30","3,795.30","3,795.30"
11/08/2024,"3,791.23","3,791.23","3,791.23","3,791.23"
11/07/2024,"3,787.27","3,787.27","3,787.27","3,787.27"
11/06/2024,"3,752.15","3,752.15","3,752.15","3,752.15"
11/05/2024,"3,692.96","3,692.96","3,692.96","3,692.96"
11/04/2024,"3,656.14","3,656.14","3,656.14","3,656.14"
11/01/2024,"3,660.03","3,660.03","3,660.03","3,660.03"
10/31/2024,"3,647.14","3,647.14","3,647.14","3,647.14"
10/30/2024,"3,706.29","3,706.29","3,706.29","3,706.29"
10/29/2024,"3,717.86","3,717.86","3,717.86","3,717.86"
10/28/2024,"3,716.61","3,716.61","3,716.61","3,716.61"
10/25/2024,"3,705.81","3,705.81","3,705.81","3,705.81"
10/24/2024,"3,707.18","3,707.18","3,707.18","3,707.18"
10/23/2024,"3,697.60","3,697.60","3,697.60","3,697.60"
10/22/2024,"3,731.32","3,731.32","3,731.32","3,731.32"
10/21/2024,"3,740.27","3,740.27","3,740.27","3,740.27"
10/18/2024,"3,753.04","3,015.90","3,753.04","3,753.04"
10/17/2024,"3,737.87","3,737.87","3,737.87","3,737.87"
10/16/2024,"3,735.29","3,735.29","3,735.29","3,735.29"
10/15/2024,"3,728.40","3,728.40","3,728.40","3,728.40"
10/14/2024,"3,753.49","3,753.49","3,753.49","3,753.49"
10/11/2024,"3,731.93","3,015.90","3,731.93","3,731.93"
10/10/2024,"3,710.71","3,710.71","3,710.71","3,710.71"
10/09/2024,"3,716.17","3,716.17","3,716.17","3,716.17"
10/08/2024,"3,694.30","3,694.30","3,694.30","3,694.30"
10/07/2024,"3,678.75","3,678.75","3,678.75","3,678.75"
10/04/2024,"3,698.41","3,698.41","3,698.41","3,698.41"
10/03/2024,"3,675.89","3,675.89","3,675.89","3,675.89"
10/02/2024,"3,685.92","3,685.92","3,685.92","3,685.92"
10/01/2024,"3,693.50","3,693.50","3,693.50","3,693.50"
09/30/2024,"3,723.03","3,723.03","3,723.03","3,723.03"
09/27/2024,"3,726.80","3,015.90","3,726.80","3,726.80"
09/26/2024,"3,720.51","3,720.51","3,720.51","3,720.51"
09/25/2024,"3,695.89","3,695.89","3,695.89","3,695.89"
09/24/2024,"3,702.33","3,702.33","3,702.33","3,702.33"
09/23/2024,"3,688.33","3,688.33","3,688.33","3,688.33"
